pays;région;;;;;;;
Grèce;Athènes;;;;;;;
;;;;;;;;
categorie;nom;adresse;note;description;transport;url;lon;lat
Quartier;Exarchia;;;Quartier authentique à côté de Polytechnique;;https://fr.wikipedia.org/wiki/Ex%C3%A1rcheia;23.734722;37.986111
Néoclassique;Zappeion;;;Palais néoclassique jardins, événements culturels calmes.;;https://fr.wikipedia.org/?curid=4813838;23.736389;37.971389
Antique;Temple de Zeus olympien;;;Colossal temple antique au coeur moderne.;;https://fr.wikipedia.org/wiki/Olympi%C3%A9ion_(Ath%C3%A8nes);23.733078;37.969372
Antique;Arc d’Hadrien;;;Arc romain élégant entre époques.;;https://fr.wikipedia.org/?curid=4435619;23.732000;37.970167
Musée;Musée numismatique d’Athènes;;;Monnaies rares racontant l'histoire économique grecque.;;https://fr.wikipedia.org/wiki/Mus%C3%A9e_numismatique_d%27Ath%C3%A8nes;23.735400;37.977800
Musée;Musée Benaki;;;Art grec byzantin à moderne, collections pointues.;;https://fr.wikipedia.org/wiki/Mus%C3%A9e_Benaki;23.740280;37.975830
Néoclassique;Académie d’Athènes;;;Chef-d'oeuvre architectural néoclassique imposant.;;https://fr.wikipedia.org/?curid=1817214;23.734762;37.980424
Musée;Bibliothèque nationale de Grèce;;;Trésor livres anciens, architecture théâtrale.;;https://fr.wikipedia.org/wiki/Biblioth%C3%A8que_nationale_de_Gr%C3%A8ce;23.692222;37.941389
Quartier;Quartier de Kolonáki;;;Chic résidentiel galeries, cafés branchés.;;https://fr.wikipedia.org/?curid=5126238;23.740639;37.977167
Eglise;Église Kapnikaréa;;;Byzantin miniature cachée rue commerçante.;;https://fr.wikipedia.org/?curid=14031555;23.728600;37.976300
Contemporain;Parlement hellénique;;;Ex-palais royal, tombe Soldat inconnu.;;https://fr.wikipedia.org/?curid=778176;23.736974;37.975276
Quartier;Mets;;;Quartier arty calme, street art local.;;https://fr.wikipedia.org/wiki/Mets_(Ath%C3%A8nes);23.736733;37.969376
Quartier;Colline d’Ardittos;;;Vue panoramique stade olympique, balade sauvage.;;https://fr.wikipedia.org/?curid=8103414;23.740958;37.968576
Contemporain;Premier cimetière d’Athènes;;;Nécropole sculpturale romantique, tombes célèbres.;;https://fr.wikipedia.org/wiki/Premier_cimeti%C3%A8re_d%27Ath%C3%A8nes;23.737875;37.963161
Quartier;Anafiotika;;;Cycladique insolite sous Acropole, ruelles blanches.;;https://fr.wikipedia.org/?curid=8047332;23.725170;37.971288
Quartier;Quartier de Pangrati;;;Bohème alternatif bars, street art vivant.;;https://fr.wikipedia.org/?curid=8048764;23.744165;37.968077
Quartier;Rue Voukourestiou;;;Luxe discret galeries art, boutiques mode.;;https://en.wikipedia.org/wiki/Voukourestiou_Street;23.734961;37.976861
Eglise;Église de Panagia Gorgoepikoos;;;Byzantin raffiné fresques dorées, intimiste.;;https://fr.wikipedia.org/?curid=13783196;23.729994;37.975060
Eglise;Église d’Agia Dynami;;;Byzantin minuscule ruelle, perle oubliée.;;https://www.thisisathens.org/fr/attractions/agia-dynami-church;23.732093;37.975422
Antique;Académie de Platon;;;Site de l'académie de Platon;;https://fr.wikipedia.org/wiki/Acad%C3%A9mie_de_Platon;23.708060;37.992500
Antique;Source clepsydre;;;Fontaine mycénienne souterraine, hydraulique ancienne.;;https://fr.wikipedia.org/wiki/Klepsydre_(Acropole);23.725056;37.972083
Antique;Agora romaine;;;Marché impérial romain, Tour des Vents unique.;;https://fr.wikipedia.org/?curid=3162411;23.726110;37.974170
Antique;Bibliothèque d'Hadrien;;;Complexe culturel romain massif, restes imposants.;;https://fr.wikipedia.org/wiki/Biblioth%C3%A8que_d%27Hadrien;23.726111;37.975556
Antique;Odéon d'Agrippa;;;Théâtre couvert romain reconstruit, acoustique antique.;;https://fr.wikipedia.org/wiki/Od%C3%A9on_d%27Agrippa;23.723167;37.975139
Antique;Stoa d'Attale;;;Portique marchand hellénistique, musée intégré.;;https://fr.wikipedia.org/wiki/Stoa_d%27Attale;23.724170;37.975000
Antique;Temple d'Héphaïstos;;;Dorique parfaitement préservé dans Agora antique.;;https://fr.wikipedia.org/?curid=16690;23.721412;37.975604
Antique;Kéramikos;;;Nécropole antique portes fortifiées, tombes peintes.;;https://fr.wikipedia.org/?curid=9528074;23.719506;37.978730
Antique;Pnyx;;;Colline assemblées démocratiques, vue oratoire antique.;;https://fr.wikipedia.org/wiki/Pnyx;23.719444;37.971667
Antique;Aréopage;;;Roche tribunal Paul apôtre, panorama Acropole.;;https://fr.wikipedia.org/wiki/Ar%C3%A9opage;23.723060;37.972500
Antique;Theseion;;;Temple antique réutilisé église, dorique intact.;;https://fr.wikipedia.org/?curid=74604;23.721392;37.975617
Antique;Théâtre de Dionysos;;;Berceau tragédie grecque, sièges sculptés.;;https://fr.wikipedia.org/wiki/Th%C3%A9%C3%A2tre_de_Dionysos;23.727800;37.970280
Antique;Prison de Socrate;;;Cachot philosophique austère, mythe exécution.;;https://fr.wikipedia.org/?curid=7208;23.720810;37.969375
Antique;Musée archéologique national;;;Trésors mycéniens et classiques inégalés.;Métro ligne 2/3, Victoria;https://fr.wikipedia.org/wiki/Mus%C3%A9e_national_arch%C3%A9ologique_d%27Ath%C3%A8nes;23.732500;37.989170
Antique;Stade panathénaïque;;;Marbre blanc JO antiques recréés.;Métro ligne 2, Académie;https://fr.wikipedia.org/wiki/Stade_panath%C3%A9na%C3%AFque;23.741111;37.968333
Antique;Sanctuaire d'Artémis à Brauron;;;Temple archaïque et rituels féminins.;Bus 122, Brauron (1h);https://fr.wikipedia.org/wiki/Brauron;23.993610;37.926390
Antique;Eléusis (mystères);;;Telesterion rites secrets Déméter.;Métro ligne 3, Elefsina;https://fr.wikipedia.org/?curid=61955;23.539425;38.042563
Antique;Musée épigraphique;;;Inscriptions gravées lois antiques.;Métro ligne 2, Syntagma;https://fr.wikipedia.org/wiki/Mus%C3%A9e_%C3%A9pigraphique_d%27Ath%C3%A8nes;23.717000;37.983000
Antique;Lycabette (sanctuaire antique);;;Chapelle hellénistique sommet colline.;Métro ligne 3, Evangelismos;https://fr.wikipedia.org/?curid=636702;23.743060;37.981940
Antique;Stade olympique d'Apollon;;;Course antique préservée Marathon.;Bus 720, Marathon (45min);https://fr.wikipedia.org/?curid=26546;22.501000;38.483000
Antique;Temple Poséidon Sounion;;;Colonnes doriques coucher soleil mythique.;Bus 122, Sounion (1h30);https://fr.wikipedia.org/?curid=12508787;24.024556;37.650250
Byzantin;Musée byzantin et chrétien;;;Icônes, fresques byzantines exceptionnelles.;Métro ligne 3, Evangelismos;https://fr.wikipedia.org/?curid=546240;23.717000;37.967000
Eglise;Monastère de Kaisariani;;;Église XIe siècle mont Hymette mystique.;Bus 223/224, Kaisariani (20min);https://fr.wikipedia.org/?curid=11497889;23.798200;37.960800
Antique;Stade panathénaïque (moderne);;;Marbre reconstruit JO 1896 mythiques.;Métro ligne 2, Stade;https://fr.wikipedia.org/wiki/Stade_panath%C3%A9na%C3%AFque;23.741111;37.968333
Contemporain;Université nationale (contemporaine);;;Campus néoclassique savoir moderne.;Métro ligne 2, Panepistimiou;https://fr.wikipedia.org/wiki/Universit%C3%A9_nationale_et_capodistrienne_d%27Ath%C3%A8nes;23.778684;37.968198
Musée;EMST (art contemporain);;;Avant-garde grecque installations choc.;Métro ligne 1, Fix;https://fr.wikipedia.org/wiki/Mus%C3%A9e_national_d%27art_contemporain_d%27Ath%C3%A8nes;23.725542;37.963140
Musée;Musée d’art cycladique;;;Idoles blanches néolithiques épurées.;Bus 022, Kolonaki;https://fr.wikipedia.org/?curid=2834057;23.741940;37.975830
Contemporain;Fondation Stavros Niarchos;;;Opéra/bibliothèque futuriste bord mer.;Métro ligne 1, Neo Faliro;https://fr.wikipedia.org/wiki/Centre_culturel_de_la_fondation_St%C3%A1vros-Ni%C3%A1rchos;23.737666;37.939700
Cinéma;Ciné Aegli (Zappeion);Zappeion Garden, Athina 105 57, Grèce;;Plus ancien cinéma plein air (1903), jardins luxuriants.;;;23.737666;37.971450
Cinéma;Ciné Dexameni;Plateia Dexamenis 7, Athina 106 73, Grèce;;Sur citerne Hadrien (1905), magie Kolonaki boisée.;;;23.741798;37.979366
Cinéma;Ciné Thision;Apostolou Pavlou 7, Athina 118 51, Grèce;;Sous Acropole depuis 1935, vue Parthénon inoubliable.;;http://cine-thisio.gr/;23.720467;37.972911
Cinéma;Ciné Vox (Exarchia);Themistokleous 82, Athina 106 81, Grèce;;Ouvert 1938, ambiance alternative quartier vibrant.;;;23.735597;37.986911
Cinéma;Ciné Riviera (Exarchia);Valtetsiou 46, Athina 106 81, Grèce;;Frère de Vox, art et essai sur place animée.;;;23.735872;37.985697
Eglise;Monastère Daphni;;;Monastère connu notamment pour ses mosaïques;Métro ligne 3, terminus Aghia Marina, 7' à pieds;https://fr.wikipedia.org/wiki/Monast%C3%A8re_de_Daphn%C3%AD;23.635833;38.013056
Contemporain;Immeuble Bleu (Exarchia);;;Moderniste 1932, admiré Le Corbusier, près Vox.;;https://en.wikipedia.org/wiki/The_Blue_Condominium_of_Exarcheia;23.735400;37.986600
Contemporain;Port de Zea (Moukiari);;;Arsenal antique trières, yachts modernes.;Métro ligne 1, Firaeus (sortie Zea);https://fr.wikipedia.org/wiki/Port_de_Zea;23.646128;37.938270
Antique;Musée archéologique du Pirée;;;Bronzes antiques, hermès portuaire rares.;Métro ligne 1, Firaeus;https://fr.wikipedia.org/wiki/Mus%C3%A9e_arch%C3%A9ologique_du_Pir%C3%A9e;23.644444;37.937222
Antique;Musée maritime hellénique;;;Modèles navires 3000 ans histoire maritime.;Métro ligne 1, Firaeus + bus 843;https://fr.wikipedia.org/wiki/Mus%C3%A9e_maritime_hell%C3%A9nique;23.645917;37.932500
Contemporain;Port de Mikrolimano (Turcolimano);;;Pêcheurs tavernes, vue baie charmante.;Métro ligne 1, Firaeus + 25min marche;https://fr.wikipedia.org/wiki/Mikrolimano;23.659541;37.938595
Byzantin;Église Agia Triada (Mikrolimano);;;Byzantin ottoman, icônes maritimes.;Métro ligne 1, Firaeus + tram C1;https://www.thisisathens.org/fr/attractions/agia-triada-russian-orthodox-eglise;23.645054;37.944422
Quartier;Quartier Kastella;;;Collines néoclassiques, vues mer oubliées.;Métro 1 Firaeus + 20min montée;https://fr.wikipedia.org/wiki/Kast%C3%A9lla_(Le_Pir%C3%A9e);23.655967;37.939489
Contemporain;Marché municipal du Pirée;;;Halles bruyantes poissons frais, épices.;Métro 1 Firaeus (sortie marché);https://fr.wikipedia.org/wiki/March%C3%A9_municipal_du_Pir%C3%A9e;23.645160;37.944610
Antique;Mur de Thémistocle (Piraiki);section visible rue Erysichthonos 29, près porte Pirée;;Remparts antiques Vème s. le long rochers.;Métro 1 Firaeus + 15min côte;https://fr.wikipedia.org/wiki/Mur_de_Th%C3%A9mistocle;23.6498° E;37.9412° N
Contemporain;Place Terpsitheas;intersection rue Iroon Polytechniou / 2is Merarchias;;Antiquités éparses cafés marins locaux.;Métro 1 Firaeus + 10min;https://en.wikipedia.org/wiki/Archaeological_site_of_Terpsithea_Square;23.6445° E;37.9365° N
Contemporain;Bakalotavernes (ruelles Piraiki);ruelles autour Akti Themistokleous, Piraiki;;Tavernes traditionnelles rebetiko, ambiance 50s.;Métro 1 Firaeus + 15min;;23.6520° E;37.9450° N
Byzantin;Église Agios Spyridon;;;Byzantin caché quartier ouvrier coloré.;Métro 1 Firaeus + 12min;https://fr.wikipedia.org/?curid=14545928;22.433333;40.200000
